,node,importance
0,hsa-miR-30e-5p,0.016925398363962937
1,hsa-miR-103a-3p,0.016281090337825547
2,hsa-miR-107,0.014327896344548008
3,hsa-miR-23b-5p,0.013482666977005644
4,hsa-miR-23a-5p,0.013169645478504206
5,hsa-miR-16-5p,0.012125758270538781
6,hsa-miR-92a-1-5p,0.011575155496778537
7,hsa-miR-27a-5p,0.011346220782772278
8,hsa-miR-17-5p,0.010864522942402411
9,hsa-let-7b-5p,0.009861773276673065
10,hsa-miR-181b-5p,0.00972310830201069
11,hsa-miR-19a-5p,0.009696773909936618
12,hsa-miR-19b-1-5p,0.009608347494466882
13,hsa-miR-15b-5p,0.009524501320582208
14,hsa-miR-15a-5p,0.00921329020053051
15,hsa-miR-301a-5p,0.008618285772772927
16,hsa-miR-130a-5p,0.008284271236598638
17,hsa-miR-93-5p,0.008068489692096647
18,hsa-miR-20a-5p,0.00802033304211842
19,hsa-miR-181a-5p,0.007989022493440589
20,hsa-let-7a-5p,0.00796271425323137
21,hsa-miR-130b-5p,0.007805683968774265
22,hsa-miR-27b-5p,0.006981627481756703
23,hsa-let-7i-5p,0.006911533989716598
24,hsa-miR-25-5p,0.006907156860034669
25,hsa-miR-30a-5p,0.006683001395216477
26,hsa-miR-106b-5p,0.006440915244343581
27,hsa-miR-186-5p,0.006022540560495148
28,hsa-let-7d-5p,0.005494224475705183
29,hsa-miR-454-5p,0.00531163987264283
30,hsa-let-7g-5p,0.0049211075026036125
31,hsa-miR-424-5p,0.004782123381199444
32,hsa-miR-30d-5p,0.004096818632971891
33,hsa-miR-200c-5p,0.003954020178353622
34,hsa-miR-30c-5p,0.003835270561566712
35,hsa-miR-30b-5p,0.003805494243953764
36,hsa-miR-148b-5p,0.0036691437885822344
37,ESR1,0.0035483249147084494
38,hsa-miR-32-5p,0.003492289009155501
39,hsa-miR-106a-5p,0.0033489281373136766
40,FOXA1,0.003303602403999821
41,hsa-miR-429,0.003154002044602955
42,hsa-miR-200b-5p,0.003115341185055755
43,hsa-miR-181c-5p,0.0027127281509868534
44,hsa-miR-182-5p,0.002692896955419963
45,hsa-miR-199a-5p,0.002673268240521808
46,hsa-miR-195-5p,0.002648371320709045
47,hsa-miR-181d-5p,0.0026395104259592564
48,AR,0.0025501128703634968
49,hsa-miR-24-1-5p,0.0023950162728462766
50,hsa-miR-125a-5p,0.0022572749758635923
51,hsa-miR-9-5p,0.0022505358661004033
52,hsa-miR-98-5p,0.0022366416504339412
53,hsa-miR-26a-5p,0.002204828342745069
54,ERG,0.0021879066505993776
55,hsa-miR-7-5p,0.0020151667601170657
56,E2F1,0.0019977452751989214
57,hsa-let-7c-5p,0.0019507872320058144
58,hsa-miR-142-5p,0.0019372897110630173
59,hsa-miR-330-5p,0.0018995699942852497
60,RUNX1,0.0018472463589117095
61,GATA3,0.0018005478951681464
62,hsa-miR-526b-5p,0.0017642183345000658
63,hsa-miR-497-5p,0.0017489732080493616
64,hsa-miR-218-5p,0.0016756817134710718
65,JUN,0.0016021367225105994
66,hsa-miR-141-5p,0.0015995646187247075
67,hsa-miR-199b-5p,0.0015926384604383176
68,hsa-miR-125b-5p,0.0015652023300193872
69,EGR1,0.00155937540269949
70,hsa-miR-145-5p,0.0015477793282671003
71,hsa-miR-21-5p,0.0015168131435039302
72,hsa-miR-96-5p,0.001452876169154237
73,hsa-miR-92b-5p,0.0014234401163898572
74,STAT1,0.001399239519475028
75,hsa-miR-22-5p,0.0013860493776233726
76,YY1,0.001343204162871614
77,TAL1,0.0013289226256045573
78,hsa-miR-148a-5p,0.001324572861916772
79,hsa-miR-324-5p,0.0013012814656390805
80,hsa-miR-520b,0.001285287592244604
81,RARA,0.0012833495706439948
82,SP1,0.0012729089799665236
83,hsa-miR-590-5p,0.0012593176174301322
