,node,importance,In CGC
37,ESR1,0.003548324914708423,Yes
40,FOXA1,0.0033036024039998107,Yes
48,AR,0.0025501128703635007,Yes
54,ERG,0.002187906650599381,Yes
56,E2F1,0.0019977452751989244,No
60,RUNX1,0.00184724635891171,Yes
61,GATA3,0.0018005478951681384,Yes
65,JUN,0.0016021367225106085,Yes
69,EGR1,0.0015593754026994855,No
74,STAT1,0.001399239519475028,No
76,YY1,0.001343204162871608,No
77,TAL1,0.001328922625604559,Yes
81,RARA,0.00128334957064399,Yes
82,SP1,0.0012729089799665176,No
84,CEBPB,0.0012550553879439237,No
86,MBD3,0.001220044309821739,No
88,FOS,0.0011519249908941156,No
89,CTCF,0.0011336875143434471,Yes
90,HIF1A,0.001113073757266158,Yes
92,JUND,0.0010688935108942098,No
94,GATA1,0.0010313586705756976,Yes
95,ZBTB7A,0.0010137444311637885,No
96,MYB,0.0009681763247687294,Yes
99,CREB1,0.0009416747128672325,Yes
101,TCF12,0.0009140779643378006,Yes
110,HEY1,0.000854402502765192,Yes
112,ELF1,0.00085391656694384,No
114,E2F6,0.0008476340404233936,No
115,FLI1,0.0008274179098912528,Yes
116,MAX,0.000825671810746014,Yes
117,BHLHE40,0.000825245969757336,No
118,KLF1,0.0008057974315208964,No
119,MYC,0.0008026109688944199,Yes
120,TAF1,0.0007826087782699456,No
122,ETS1,0.0007579027118184559,No
124,EBF1,0.0007470758758663496,Yes
125,CBFB,0.0007389410587381042,Yes
129,REST,0.0007074622976247397,No
131,NR3C1,0.0006907564692606249,No
132,CREBBP,0.0006876209776609882,Yes
135,TCF3,0.0006761930110330794,Yes
136,NUFIP2,0.0006632325486480501,No
137,EZH2,0.000657811079758864,Yes
138,TBP,0.0006539455423781251,No
142,TEAD4,0.0006484825462969255,No
144,CXXC1,0.0006392421667132377,No
146,RUNX1T1,0.000602225591200142,Yes
149,TCF4,0.0005969994872791566,No
152,FYN,0.000573734059066084,No
156,YWHAZ,0.0005549850769634332,No
159,PRKCA,0.0005366574934462842,No
163,FN1,0.0005298028100135359,No
164,SPI1,0.0005296482515414968,No
165,E2F4,0.0005269970837272294,No
166,NFYA,0.0005190827020348335,No
167,CCND1,0.0005165089774777141,Yes
168,FOXO1,0.0005147053384695935,Yes
169,RUNX3,0.0005129742748339816,No
172,TFAP2A,0.0005101179620172035,No
175,EGFR,0.000506326391199432,Yes
179,YWHAG,0.0004897375005268122,No
180,FOXP1,0.0004850678648244789,Yes
182,ATXN1,0.0004828744875304646,No
183,FRS2,0.0004821410754348103,No
187,QKI,0.00047532408677900125,Yes
188,GATA2,0.00046844504104470833,Yes
193,GTF2I,0.0004528318295024327,No
194,IL6ST,0.00045200082024548875,Yes
195,GABPA,0.00045016766914710824,No
196,BACH2,0.0004480917871610642,No
197,SRF,0.0004435838842585974,No
198,CBL,0.0004433620483847312,Yes
199,CLTC,0.0004423517034383684,Yes
200,ARNTL,0.0004418580902321181,No
203,FOSL2,0.0004352085576439074,No
204,MAPK1,0.00043216824913485345,Yes
205,BTG2,0.000429083873231564,No
207,RPS6KA3,0.0004255933346216782,No
209,E2F3,0.00042368104248741883,No
210,EP300,0.00041881192548558525,Yes
211,TNPO1,0.00041712343673280534,No
213,THBS1,0.0004164533146671782,No
217,NRF1,0.0004113005182018336,No
218,BNC2,0.0004107522916263631,No
219,CSNK1A1,0.0004091073910657737,No
220,AFF4,0.00040813007127430057,Yes
221,MMP16,0.0004071859881065847,No
223,KLF11,0.00040595320264553286,No
224,HIPK3,0.0004049935458135418,No
225,NR2F1,0.00040080005201454077,No
226,TFAP2C,0.000400642508042895,No
227,MAZ,0.000396105876833411,No
229,XPO1,0.0003947951009003954,Yes
230,SYNCRIP,0.0003942725740729302,No
231,ATF2,0.0003936968396885652,No
232,ZEB1,0.0003935440966292835,Yes
233,SFPQ,0.000393100445241804,Yes
234,G3BP1,0.00039099303427613837,No
235,CDK6,0.00039083977341561766,Yes
237,CBX5,0.00038865851449374275,No
238,TRPS1,0.0003858441754755677,No
239,RXRA,0.00038411210846970044,No
241,SH3PXD2A,0.0003826760010476796,No
242,TEAD1,0.0003812910345678175,No
243,MDM2,0.00037723427327233326,Yes
244,UBE2W,0.0003750138128319068,No
245,AFF1,0.00037397236586817926,Yes
247,CACNA1C,0.0003711222630129618,No
250,BRCA1,0.0003698114389052255,Yes
251,XIAP,0.0003685412202614772,No
